method,episode_idx,episode_id,start_index,goal_index,sampled_goal_gap,coverage_success,goal_state_success,state_dist,final_latent_distance,start_latent_distance,planning_latency_sec,max_coverage,final_coverage,steps_taken,skill_consistency,video_path
hierarchical,21,0,26,51,25,False,False,353.6597595214844,0.00017876652418635786,0.013515020720660686,0.286505775002297,0.17450593355568816,0.17450593355568816,32,0.1858799122273922,
hierarchical,22,0,47,72,25,False,False,342.7480773925781,0.01510724239051342,0.016220716759562492,0.2675869500017143,0.17450593355568816,0.17450593355568816,32,0.18263766821473837,
hierarchical,23,0,48,76,28,False,False,282.03753662109375,0.014972975477576256,0.0020690576639026403,0.2549309749956592,0.17450593355568816,0.17450593355568816,32,0.21154430322349072,
hierarchical,24,0,6,30,24,False,False,191.42587280273438,0.012976592406630516,0.00604536896571517,0.2646304499867256,0.17450593355568816,0.17450593355568816,32,0.17831008043140173,
hierarchical,25,0,24,48,24,False,False,317.5417785644531,0.012153694406151772,0.0018121827160939574,0.25913062498148065,0.17450593355568816,0.17450593355568816,32,0.14396981708705425,
hierarchical,26,0,7,35,28,False,False,191.9917755126953,0.0030040680430829525,0.001008695224300027,0.26896271248551784,0.17450593355568816,0.17450593355568816,32,0.23211752995848656,
hierarchical,27,0,54,78,24,False,False,437.7648010253906,0.01786930114030838,0.004590968601405621,0.300478924982599,0.17450593355568816,0.17450593355568816,32,0.17693371651694179,
hierarchical,28,0,45,77,32,False,False,521.5386352539062,0.020700788125395775,0.021893896162509918,0.2550168250018032,0.17450593355568816,0.17450593355568816,32,0.16578897181898355,
hierarchical,29,0,46,75,29,False,False,476.167724609375,0.014422043226659298,0.015558923594653606,0.23293528749491088,0.17450593355568816,0.17450593355568816,32,0.14517338620498776,
hierarchical,30,0,24,52,28,False,False,305.49908447265625,0.010120207443833351,0.0017278781160712242,0.23268278750765603,0.17450593355568816,0.17450593355568816,32,0.20468476321548223,
hierarchical,31,0,14,42,28,False,False,413.94586181640625,0.009792441502213478,0.0007927257101982832,0.23844202499458333,0.17450593355568816,0.13465102405307577,32,0.18293874897062778,
hierarchical,32,0,21,47,26,False,False,357.2218017578125,0.00017876652418635786,0.01027483306825161,0.26193071249872446,0.17450593355568816,0.17450593355568816,32,0.1688164360821247,
hierarchical,33,0,55,79,24,False,False,133.20831298828125,0.0013780862791463733,0.002547019626945257,0.28474283750983886,0.17450593355568816,0.17450593355568816,32,0.20903259608894587,
hierarchical,34,0,0,24,24,False,True,7.804574966430664,0.0004999442026019096,0.004082526080310345,0.2952029500156641,0.17450593355568816,0.17450593355568816,8,0.24739938974380493,
hierarchical,35,0,10,42,32,False,False,75.66634368896484,0.011694081127643585,0.0009032421512529254,0.25864280000678264,0.17450593355568816,0.17450593355568816,32,0.13105108169838786,
hierarchical,36,0,38,69,31,False,False,377.12445068359375,0.006805415730923414,0.002398902550339699,0.24633702498977073,0.17450593355568816,0.17450593355568816,32,0.22442706301808357,
hierarchical,37,0,11,41,30,False,False,229.87815856933594,0.009872211143374443,0.0009743465925566852,0.25215631250466686,0.17450593355568816,0.17450593355568816,32,0.20036822650581598,
hierarchical,38,0,20,48,28,False,False,280.3235168457031,0.012153694406151772,0.0031238689552992582,0.24668962500436464,0.17450593355568816,0.17450593355568816,32,0.19834831170737743,
hierarchical,39,0,0,29,29,False,True,4.778101444244385,0.013678095303475857,0.005531036760658026,0.24420682500931434,0.17450593355568816,0.17450593355568816,30,0.20396774262189865,
hierarchical,40,0,46,75,29,False,False,443.0730285644531,0.014422043226659298,0.015558923594653606,0.25780938748357585,0.17450593355568816,0.17450593355568816,32,0.17622092459350824,
